90 nodes, 149 edges.
0	1	59
0	2	75
0	3	53
9	10	124
5	9	47
10	11	70
7	10	50
11	12	110
7	11	70
12	14	60
12	15	270
13	16	310
13	17	120
13	14	50
15	16	200
15	28	280
16	27	410
17	18	290
17	20	470
17	21	310
17	22	190
18	19	566
18	21	278
1	9	40
19	20	267
20	26	80
20	21	170
21	22	260
22	23	270
23	24	260
20	24	380
21	24	330
25	32	190
26	33	110
26	36	270
25	27	100
27	34	100
28	29	330
28	80	360
2	4	25
2	6	62
29	30	410
29	35	190
30	31	160
30	40	160
30	41	270
31	32	120
32	89	40
33	89	180
32	39	100
33	36	210
33	38	210
26	34	330
34	89	180
38	89	100
31	35	290
35	80	70
36	37	260
37	52	210
37	84	210
38	39	60
38	42	160
2	3	40
3	5	41
39	40	250
39	43	150
40	41	200
40	44	210
41	45	110
41	46	160
41	70	440
37	42	280
42	43	100
43	44	290
43	52	170
44	45	160
44	49	180
44	51	290
45	46	90
45	48	210
46	47	220
46	71	360
47	48	90
47	61	200
48	49	150
48	60	220
4	13	330
49	50	170
49	59	250
50	54	240
50	51	60
51	56	250
51	52	90
52	57	280
53	63	300
53	66	660
54	56	40
54	58	80
53	55	60
56	57	20
55	57	60
55	58	60
5	7	190
58	59	310
59	60	150
59	63	240
60	61	90
60	75	700
61	62	260
61	74	360
62	63	240
62	87	200
63	67	540
64	65	210
64	81	230
65	67	40
65	69	390
66	68	190
66	67	170
67	78	180
68	79	130
6	8	110
69	82	230
70	71	90
71	72	110
72	73	80
72	85	270
47	73	380
73	74	250
74	75	290
75	88	180
64	76	460
76	77	310
77	81	360
78	79	180
78	82	340
7	8	40
69	79	80
27	80	30
81	83	520
82	83	280
53	84	160
47	85	190
64	86	380
65	86	390
86	87	70
76	88	140
87	88	490
8	13	150
