1020 nodes, 2522 edges.
0	289	1.08
0	306	1.08
0	315	1.08
1	301	1.67
1	303	1.67
2	300	1.08
2	305	1.08
3	300	1.08
3	305	1.08
4	297	0.50
4	298	0.50
4	309	1.08
5	423	0.83
5	424	0.83
5	455	0.83
6	273	0.67
6	280	0.67
6	282	0.67
7	271	0.67
7	455	0.67
7	473	0.67
7	479	0.67
8	276	0.50
9	204	0.42
9	205	0.42
9	213	0.42
10	205	0.67
10	206	0.67
11	209	0.83
11	216	0.83
11	221	0.83
12	207	0.67
12	210	0.67
12	223	0.67
13	243	0.58
14	227	0.83
14	532	0.83
14	537	0.83
15	600	1.00
15	601	1.00
16	596	0.67
16	607	0.67
16	620	0.67
17	913	0.92
17	936	0.92
17	937	0.92
17	945	0.92
18	616	0.83
18	918	0.83
18	930	0.83
19	915	0.75
20	914	0.50
20	942	0.50
21	830	1.17
22	822	1.08
22	834	1.08
22	835	1.08
22	838	1.08
23	826	1.17
23	837	1.17
23	854	1.17
24	820	1.25
24	840	1.25
24	848	1.25
25	321	0.67
25	843	0.67
25	850	0.67
26	316	0.67
26	332	0.67
26	823	0.67
26	831	0.67
27	327	0.67
27	338	0.67
27	824	0.67
28	324	0.75
28	330	0.75
29	285	0.67
29	339	0.67
30	365	0.62
30	404	0.62
30	447	0.62
30	778	0.62
31	286	0.67
31	346	0.67
31	354	0.67
31	355	0.67
32	254	1.08
32	857	1.08
32	960	1.08
32	962	1.08
33	869	0.92
33	961	0.92
33	963	0.92
33	966	0.92
34	757	0.75
34	759	0.75
34	868	0.75
34	965	0.75
35	762	0.62
35	763	0.62
35	766	0.62
35	787	0.62
35	795	0.62
36	348	0.70
36	392	0.70
36	457	0.70
36	458	0.70
36	802	0.70
37	254	0.78
37	261	0.78
37	266	0.78
38	253	0.83
38	872	0.83
38	879	0.83
38	880	0.83
39	632	1.08
39	882	1.08
40	760	0.92
40	865	0.92
40	874	0.92
40	884	0.92
41	665	0.67
41	675	0.67
41	678	0.67
41	686	0.67
42	667	0.58
42	687	0.58
42	688	0.58
42	695	0.58
42	721	0.58
43	449	0.67
43	454	0.67
43	472	0.67
43	502	0.67
44	521	0.67
44	529	0.67
44	550	0.67
44	554	0.67
45	261	1.08
45	262	1.08
46	263	0.67
46	886	0.67
47	260	0.75
47	889	0.75
48	624	0.75
48	645	0.75
49	622	0.50
49	651	0.50
49	699	0.50
50	654	0.58
50	701	0.58
50	705	0.58
50	709	0.58
51	639	0.53
51	658	0.53
51	698	0.53
51	713	0.53
52	524	0.50
52	584	0.50
52	663	0.50
53	978	0.83
54	250	0.63
54	890	0.63
54	978	0.63
55	888	0.50
56	888	0.53
56	991	0.53
56	1002	0.53
57	626	0.53
57	887	0.53
58	888	0.50
58	985	0.50
59	892	0.42
59	895	0.42
59	899	0.42
60	623	0.58
60	629	0.58
60	641	0.58
61	628	0.67
61	636	0.67
61	652	0.67
62	901	0.53
62	907	0.53
62	946	0.53
63	631	0.75
63	922	0.75
63	924	0.75
64	920	0.87
64	925	0.87
64	935	0.87
65	997	0.58
66	993	0.83
66	994	0.83
66	995	0.83
67	985	0.95
67	1001	0.95
67	1002	0.95
68	981	0.58
68	984	0.58
69	903	0.83
69	958	0.83
69	959	0.83
69	982	0.83
70	948	0.83
70	957	0.83
70	984	0.83
71	950	0.92
71	956	0.92
72	927	0.58
72	939	0.58
73	312	0.83
73	321	0.83
73	841	0.83
73	320	0.83
73	1019	0.83
74	847	0.83
74	848	0.83
75	303	0.83
75	848	0.83
75	321	0.83
76	848	0.83
76	321	0.83
77	847	0.83
77	838	0.83
78	303	0.83
78	312	0.83
79	303	0.83
79	312	0.83
80	847	0.83
80	321	0.83
80	246	0.83
81	847	0.83
81	246	0.83
81	321	0.83
82	847	0.83
82	246	0.83
82	321	0.83
83	312	0.83
84	303	0.83
84	848	0.83
84	321	0.83
84	312	0.83
85	848	0.83
85	321	0.83
85	312	0.83
86	321	0.83
86	848	0.83
87	321	0.83
87	312	0.83
88	312	0.83
89	303	0.83
89	321	0.83
89	320	0.83
89	312	0.83
90	1009	0.83
90	953	0.83
90	1004	0.83
91	1005	0.83
91	1004	0.83
92	1005	0.83
92	1004	0.83
93	262	0.83
93	998	0.83
94	987	0.83
95	1004	0.83
