90 nodes, 149 edges.
0	1	115
1	2	36
2	3	49
3	4	63
4	5	19
5	6	31
6	7	9
7	8	33
8	9	51
9	10	50
10	11	7
12	13	58
13	14	8
14	54	57
54	55	15
55	59	30
59	60	7
15	60	19
15	16	24
16	17	21
17	18	25
18	19	10
19	20	41
9	20	32
9	21	8
10	21	44
22	23	72
23	24	7
24	25	13
25	26	29
4	26	13
4	16	9
16	27	49
27	28	73
28	29	10
11	29	66
22	30	3
23	31	4
24	32	5
25	33	11
31	32	9
32	33	8
6	33	48
6	18	17
18	35	22
35	39	9
27	35	3
34	35	6
34	45	10
39	45	6
28	45	66
18	47	34
46	47	13
47	48	28
17	48	39
5	17	12
19	34	10
7	19	19
7	36	57
39	46	23
39	40	51
28	40	21
46	67	85
40	67	80
66	67	25
47	66	83
65	66	19
53	65	22
52	53	7
49	52	36
49	50	18
50	51	7
51	52	31
48	49	27
15	50	39
53	64	46
63	64	35
63	68	62
65	68	90
62	63	34
54	62	35
61	62	24
55	61	18
60	61	36
51	62	62
62	72	117
68	72	68
71	72	38
71	80	33
12	80	40
13	80	82
0	69	18
0	73	9
44	69	59
44	70	33
12	44	60
57	70	107
2	14	66
2	13	73
2	57	23
57	58	23
3	58	11
1	43	65
42	43	10
43	58	23
3	42	21
41	42	8
56	57	19
55	56	20
58	59	36
73	74	98
73	77	144
74	77	115
74	75	97
75	76	56
75	79	43
22	79	78
76	77	83
76	78	63
22	78	24
43	78	102
41	77	39
41	81	48
26	81	21
24	41	83
25	82	28
81	82	25
15	81	31
19	26	60
8	83	6
38	85	29
37	38	9
36	37	6
31	36	33
32	38	39
19	83	42
20	83	14
83	84	51
21	84	48
38	87	10
85	88	26
87	88	33
85	86	26
8	86	20
86	89	48
88	89	37
84	89	41
30	31	81
14	80	87
